CustomerID,Gender,Age,Annual_Income_k,Spending_Score
1,Male,41,25.5,14
2,Female,69,90.2,89
3,Female,28,101.6,28
4,Female,66,107.2,79
5,Male,25,29.4,21
6,Male,53,107.5,14
7,Male,55,83.3,80
8,Female,57,73.0,16
9,Female,37,21.2,81
10,Female,52,26.7,95
11,Male,65,97.6,80
12,Female,42,82.8,24
13,Female,52,18.4,35
14,Male,42,99.4,81
15,Male,46,16.4,91
16,Male,35,24.4,90
17,Male,63,77.2,80
18,Female,35,90.0,20
19,Male,19,22.7,85
20,Male,52,81.5,19
21,Female,33,25.6,84
22,Male,58,28.6,71
23,Male,53,42.7,63
24,Male,50,26.7,74
25,Female,21,32.8,21
26,Female,50,99.4,86
27,Male,31,106.5,99
28,Female,38,88.0,28
29,Female,65,28.2,91
30,Male,37,20.2,25
31,Female,25,98.5,6
32,Male,24,45.5,30
33,Male,20,87.8,26
34,Female,34,102.0,21
35,Female,50,33.1,69
36,Female,65,41.4,49
37,Male,29,93.1,20
38,Male,68,15.0,19
39,Female,39,18.5,25
40,Female,39,92.9,77
41,Male,63,50.9,39
42,Female,47,54.5,60
43,Male,55,82.1,89
44,Female,55,85.8,14
45,Male,62,54.1,40
46,Female,68,22.2,10
47,Male,25,34.8,20
48,Female,44,21.5,82
49,Female,44,54.1,48
50,Male,51,94.9,26
51,Female,38,85.8,80
52,Female,47,87.8,67
53,Female,50,77.9,31
54,Female,45,33.2,78
55,Female,64,94.6,87
56,Female,50,79.6,61
57,Male,22,24.4,72
58,Male,65,42.1,52
59,Male,36,21.2,9
60,Male,21,21.8,71
61,Male,52,103.5,92
62,Male,66,25.0,92
63,Female,34,25.4,73
64,Male,61,32.6,84
65,Male,45,19.8,78
66,Female,47,48.0,36
67,Male,46,29.6,35
68,Female,63,78.8,25
69,Male,23,21.7,76
70,Female,52,85.3,78
71,Female,58,25.2,73
72,Male,54,92.2,85
73,Male,41,53.1,41
74,Female,46,85.4,91
75,Female,66,94.0,12
76,Female,63,25.5,26
77,Female,48,76.6,89
78,Male,52,84.7,90
79,Male,50,21.2,6
80,Male,69,77.0,20
81,Female,38,26.3,73
82,Female,49,95.1,72
83,Male,40,24.7,10
84,Male,50,49.8,50
85,Male,20,20.7,17
86,Male,35,63.1,44
87,Female,42,96.7,11
88,Female,59,27.6,92
89,Female,48,15.0,14
90,Female,20,94.6,83
91,Male,57,93.0,15
92,Female,63,25.4,19
93,Female,41,99.3,87
94,Female,67,26.7,17
95,Female,49,51.1,46
96,Female,64,27.0,17
97,Female,39,26.4,37
98,Male,40,29.4,17
99,Male,19,99.6,17
100,Male,44,15.0,12
101,Male,59,75.0,82
102,Female,19,55.1,67
103,Male,43,57.6,48
104,Female,34,29.1,2
105,Female,57,91.9,26
106,Male,50,78.2,29
107,Male,26,92.7,82
108,Female,60,28.2,38
109,Male,65,56.5,52
110,Male,56,86.3,13
111,Male,46,29.2,13
112,Male,59,90.6,16
113,Female,43,93.8,23
114,Female,52,63.3,45
115,Female,67,23.7,72
116,Female,42,86.4,88
117,Female,41,96.1,78
118,Male,30,62.0,64
119,Female,24,93.3,35
120,Female,53,21.1,10
121,Female,62,75.8,32
122,Female,37,60.2,49
123,Male,18,92.2,76
124,Male,25,109.6,21
125,Male,63,90.9,91
126,Male,33,27.4,22
127,Female,31,83.7,89
128,Female,29,105.1,96
129,Male,68,33.0,76
130,Female,40,20.1,79
131,Male,32,25.3,89
132,Male,45,76.5,97
133,Male,51,53.7,46
134,Male,19,81.9,72
135,Female,49,61.6,51
136,Male,40,44.7,37
137,Female,39,23.3,93
138,Female,68,87.9,8
139,Male,42,23.8,18
140,Female,39,15.0,80
141,Female,39,23.8,86
142,Male,66,104.8,29
143,Female,69,23.7,11
144,Male,59,110.6,85
145,Male,23,90.1,85
146,Male,32,26.0,79
147,Female,60,22.1,16
148,Female,54,24.8,76
149,Male,50,49.3,51
150,Male,25,23.7,92
151,Female,61,15.0,89
152,Male,61,100.0,68
153,Male,22,87.3,82
154,Female,56,78.7,79
155,Female,21,46.1,68
156,Male,23,97.5,95
157,Female,62,28.6,11
158,Female,49,85.8,24
159,Male,69,18.9,26
160,Female,47,23.8,17
161,Male,64,95.7,89
162,Female,52,87.1,29
163,Female,57,81.4,25
164,Female,69,94.7,18
165,Male,33,57.6,37
166,Female,30,97.4,84
167,Male,67,85.8,28
168,Male,59,49.4,36
169,Male,47,17.2,85
170,Female,36,18.6,94
171,Female,34,38.3,67
172,Male,36,56.7,49
173,Female,45,85.6,88
174,Male,43,89.7,94
175,Female,54,25.6,81
176,Male,43,87.1,20
177,Female,40,26.5,66
178,Male,26,79.2,26
179,Female,29,91.4,19
180,Male,18,90.1,88
181,Male,18,22.3,14
182,Male,64,26.0,12
183,Female,51,58.3,33
184,Female,49,98.2,89
185,Male,65,92.0,28
186,Female,42,33.3,28
187,Female,57,75.3,10
188,Female,62,21.9,20
189,Female,18,27.6,14
190,Male,33,25.9,14
191,Male,56,85.1,74
192,Female,22,20.4,69
193,Female,39,82.2,28
194,Female,46,82.4,99
195,Male,20,93.9,86
196,Male,29,83.1,91
197,Female,43,85.4,86
198,Female,33,110.5,84
199,Female,68,64.2,43
200,Female,54,89.7,34
