CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Cluster
1,Male,41,25.5,14,4
2,Female,69,90.2,89,1
3,Female,28,101.6,28,0
4,Female,66,107.2,79,1
5,Male,25,29.4,21,4
6,Male,53,107.5,14,0
7,Male,55,83.3,80,1
8,Female,57,73.0,16,0
9,Female,37,21.2,81,3
10,Female,52,26.7,95,3
11,Male,65,97.6,80,1
12,Female,42,82.8,24,0
13,Female,52,18.4,35,4
14,Male,42,99.4,81,1
15,Male,46,16.4,91,3
16,Male,35,24.4,90,3
17,Male,63,77.2,80,1
18,Female,35,90.0,20,0
19,Male,19,22.7,85,3
20,Male,52,81.5,19,0
21,Female,33,25.6,84,3
22,Male,58,28.6,71,3
23,Male,53,42.7,63,2
24,Male,50,26.7,74,3
25,Female,21,32.8,21,4
26,Female,50,99.4,86,1
27,Male,31,106.5,99,1
28,Female,38,88.0,28,0
29,Female,65,28.2,91,3
30,Male,37,20.2,25,4
31,Female,25,98.5,6,0
32,Male,24,45.5,30,2
33,Male,20,87.8,26,0
34,Female,34,102.0,21,0
35,Female,50,33.1,69,3
36,Female,65,41.4,49,2
37,Male,29,93.1,20,0
38,Male,68,15.0,19,4
39,Female,39,18.5,25,4
40,Female,39,92.9,77,1
41,Male,63,50.9,39,2
42,Female,47,54.5,60,2
43,Male,55,82.1,89,1
44,Female,55,85.8,14,0
45,Male,62,54.1,40,2
46,Female,68,22.2,10,4
47,Male,25,34.8,20,4
48,Female,44,21.5,82,3
49,Female,44,54.1,48,2
50,Male,51,94.9,26,0
51,Female,38,85.8,80,1
52,Female,47,87.8,67,1
53,Female,50,77.9,31,0
54,Female,45,33.2,78,3
55,Female,64,94.6,87,1
56,Female,50,79.6,61,1
57,Male,22,24.4,72,3
58,Male,65,42.1,52,2
59,Male,36,21.2,9,4
60,Male,21,21.8,71,3
61,Male,52,103.5,92,1
62,Male,66,25.0,92,3
63,Female,34,25.4,73,3
64,Male,61,32.6,84,3
65,Male,45,19.8,78,3
66,Female,47,48.0,36,2
67,Male,46,29.6,35,4
68,Female,63,78.8,25,0
69,Male,23,21.7,76,3
70,Female,52,85.3,78,1
71,Female,58,25.2,73,3
72,Male,54,92.2,85,1
73,Male,41,53.1,41,2
74,Female,46,85.4,91,1
75,Female,66,94.0,12,0
76,Female,63,25.5,26,4
77,Female,48,76.6,89,1
78,Male,52,84.7,90,1
79,Male,50,21.2,6,4
80,Male,69,77.0,20,0
81,Female,38,26.3,73,3
82,Female,49,95.1,72,1
83,Male,40,24.7,10,4
84,Male,50,49.8,50,2
85,Male,20,20.7,17,4
86,Male,35,63.1,44,2
87,Female,42,96.7,11,0
88,Female,59,27.6,92,3
89,Female,48,15.0,14,4
90,Female,20,94.6,83,1
91,Male,57,93.0,15,0
92,Female,63,25.4,19,4
93,Female,41,99.3,87,1
94,Female,67,26.7,17,4
95,Female,49,51.1,46,2
96,Female,64,27.0,17,4
97,Female,39,26.4,37,4
98,Male,40,29.4,17,4
99,Male,19,99.6,17,0
100,Male,44,15.0,12,4
101,Male,59,75.0,82,1
102,Female,19,55.1,67,2
103,Male,43,57.6,48,2
104,Female,34,29.1,2,4
105,Female,57,91.9,26,0
106,Male,50,78.2,29,0
107,Male,26,92.7,82,1
108,Female,60,28.2,38,4
109,Male,65,56.5,52,2
110,Male,56,86.3,13,0
111,Male,46,29.2,13,4
112,Male,59,90.6,16,0
113,Female,43,93.8,23,0
114,Female,52,63.3,45,2
115,Female,67,23.7,72,3
